feature,coef_std
prob_all_tokens.logprob_avg,206613380.4602363
prob_all_tokens.perplexity,92367681.74142492
prob_tokens_only.p_min,6734670.054447602
prob_tokens_only.prob_geo_mean,3888707.3657416217
prob_tokens_only.logprob_sum,2047082.454026621
prob_all_tokens.p_min,1899527.0408210687
prob_tokens_only.n_tokens,954729.1317017599
confidence_verbalized,137558.2539875477
prob_all_tokens.frac_p_gt_0_1,124147.03122046584
prob_tokens_only.frac_p_gt_0_01,2.9802322387695312e-08
prob_all_tokens.frac_p_gt_0_01,-2.5512417778372765e-05
judge_confidence,-54733.6847104391
prob_tokens_only.frac_p_gt_0_1,-203180.47128497553
prob_all_tokens.n_tokens,-644557.8212545802
prob_all_tokens.prob_joint,-847846.735307659
prob_tokens_only.perplexity,-1511608.7185415518
prob_tokens_only.logprob_avg,-5321668.622739925
prob_tokens_only.prob_joint,-8399629.872266678
prob_all_tokens.logprob_sum,-9050132.454570906
prob_all_tokens.prob_geo_mean,-106502671.21389645
