feature,coef_std
prob_all_tokens.logprob_avg,11.32870508711383
prob_all_tokens.perplexity,4.2783078660685145
prob_all_tokens.p_min,0.4783394382984855
prob_tokens_only.logprob_avg,0.4481262238778585
prob_tokens_only.p_min,0.4187852987742357
prob_tokens_only.logprob_sum,0.14580604472181657
prob_tokens_only.perplexity,0.12768827083767126
prob_tokens_only.n_tokens,0.07159573338791024
prob_all_tokens.frac_p_gt_0_1,0.02505513595168969
prob_tokens_only.frac_p_gt_0_01,1.7763568394002505e-15
prob_all_tokens.frac_p_gt_0_01,-1.3970768986126814e-12
confidence_verbalized,-0.025010759101254693
prob_tokens_only.frac_p_gt_0_1,-0.045067456150245204
judge_confidence,-0.05189578570653525
prob_all_tokens.n_tokens,-0.05694944275081117
prob_all_tokens.prob_joint,-0.3122964107322499
prob_tokens_only.prob_joint,-0.3485191813564272
prob_tokens_only.prob_geo_mean,-0.547756935506083
prob_all_tokens.logprob_sum,-0.7640829927956378
prob_all_tokens.prob_geo_mean,-6.47182941161375
