feature,logit_coef_std
prob_all_tokens.prob_joint,1.4733131635697132
prob_tokens_only.prob_geo_mean,1.1236589075771093
prob_tokens_only.prob_joint,1.01551522690243
prob_all_tokens.logprob_sum,0.9588075218018162
confidence_verbalized,0.5691152033078146
prob_tokens_only.n_tokens,0.20837276078969952
judge_confidence,0.056615914113677036
prob_tokens_only.frac_p_gt_0_1,0.03946310561890984
prob_all_tokens.n_tokens,0.015896815110907108
prob_all_tokens.frac_p_gt_0_01,0.0
prob_tokens_only.frac_p_gt_0_01,0.0
prob_tokens_only.perplexity,-0.09297893407004607
prob_all_tokens.logprob_avg,-0.11968736474888421
prob_all_tokens.perplexity,-0.25222582094405593
prob_all_tokens.frac_p_gt_0_1,-0.2620888636378513
prob_tokens_only.logprob_sum,-0.28474088913266643
prob_all_tokens.prob_geo_mean,-0.42749106197288
prob_tokens_only.logprob_avg,-0.6922315485340906
prob_tokens_only.p_min,-0.9194869303858257
prob_all_tokens.p_min,-1.8218690680391547
