column,n_non_null,mean,std,min,p25,median,p75,max,probability_like_0_1
confidence_verbalized,3395,0.9596229749631812,0.0602956705481024,0.1,0.95,0.98,0.99,1.0,True
judge_confidence,3391,0.9081391919787674,0.14806814812809874,0.01,0.95,0.95,0.95,1.0,True
prob_tokens_only.prob_joint,3395,0.9730499286356147,0.12421240330505733,1.3289767479662053e-06,0.9999980432931144,1.0,1.0,1.0,True
prob_tokens_only.prob_geo_mean,3395,0.9862562609842104,0.0719259523338123,0.10110204759455726,0.9999992803352964,1.0,1.0,1.0,True
prob_tokens_only.logprob_sum,3395,-0.05421883580400011,0.3836774310545373,-13.5311012742732,-1.9567088e-06,2.5127084e-06,5.214009385e-06,1.3275072000000001e-05,False
prob_tokens_only.logprob_avg,3395,-0.018517147777757353,0.11383905221659697,-2.2916249,-7.196649625e-07,8.127341333333333e-07,1.57654720625e-06,3.8555881e-06,False
prob_tokens_only.perplexity,3395,1.029233489067681,0.25753343149512475,0.9999961444193328,0.9999984234540364,0.999999187266197,1.0000007196652214,9.890996510874167,False
prob_tokens_only.p_min,3395,0.974414982818287,0.11891431854905306,0.04196649571999253,0.9999968688984019,0.9999989829962171,1.0000006128104377,1.0000037642382846,False
prob_all_tokens.prob_joint,3395,0.6438944060757592,0.2853147854833707,9.041181760971194e-08,0.4204872887821603,0.7187110247134002,0.888918407070227,0.9988033004340262,True
prob_all_tokens.prob_geo_mean,3395,0.9781238377180858,0.026794528499315295,0.6291428877821112,0.9693654865656668,0.9883960156846263,0.9957721754684341,0.9999539465919264,True
prob_all_tokens.logprob_sum,3395,-0.6326080350109488,0.8203004502716046,-16.218890852321,-0.8663411650745996,-0.33029591482659,-0.11774982825375001,-0.001197416182673,False
prob_all_tokens.logprob_avg,3395,-0.022515546788256232,0.028585173008422594,-0.4633968814948857,-0.031113559113066427,-0.011671835951660384,-0.004236787067220344,-4.6054468564346154e-05,False
prob_all_tokens.perplexity,3395,1.0232022667796214,0.03075205688598854,1.0000460555290878,1.0042457749536515,1.011740217616454,1.031602645143272,1.5894640461171776,False
prob_all_tokens.p_min,3395,0.6648972366830999,0.27819877193555015,0.03846243224198027,0.4584042990965341,0.7396567586891841,0.9089936302062004,0.9990414340181744,True
abs_error,3395,133147.4973695246,4644198.961639512,0.0,0.0,0.0,0.0,179999970.0,False
rel_error,3395,3829.3219067742984,146607.8743378223,0.0,0.0,0.0,0.0,5999999.0,False
log_error,3395,0.07005727552257307,0.599660287685288,0.0,0.0,0.0,0.0,15.574480209924893,False
log1p_abs_error,3395,0.334948152341004,1.1637776581371495,0.0,0.0,0.0,0.0,19.00846724774336,False
is_correct,3397,0.8631145128054165,0.34377702204723903,0.0,1.0,1.0,1.0,1.0,True
