feature,coef_std,n_train,n_test,train_auc,test_auc,train_brier,test_brier
prob_all_tokens.prob_joint,1.7635414179266906,2712,679,0.7917277229559283,0.8075512924968522,0.09120359974233769,0.09109505732867275
prob_tokens_only.prob_geo_mean,1.0660074050923363,2712,679,0.7917277229559283,0.8075512924968522,0.09120359974233769,0.09109505732867275
prob_tokens_only.prob_joint,1.0514249574472023,2712,679,0.7917277229559283,0.8075512924968522,0.09120359974233769,0.09109505732867275
confidence_verbalized,0.5375049884835351,2712,679,0.7917277229559283,0.8075512924968522,0.09120359974233769,0.09109505732867275
prob_all_tokens.logprob_avg,0.09799110983877392,2712,679,0.7917277229559283,0.8075512924968522,0.09120359974233769,0.09109505732867275
judge_confidence,0.051923518349219974,2712,679,0.7917277229559283,0.8075512924968522,0.09120359974233769,0.09109505732867275
prob_all_tokens.logprob_sum,-0.010597790796898049,2712,679,0.7917277229559283,0.8075512924968522,0.09120359974233769,0.09109505732867275
prob_tokens_only.perplexity,-0.11327949327362163,2712,679,0.7917277229559283,0.8075512924968522,0.09120359974233769,0.09109505732867275
prob_all_tokens.prob_geo_mean,-0.18514637313446902,2712,679,0.7917277229559283,0.8075512924968522,0.09120359974233769,0.09109505732867275
prob_tokens_only.logprob_sum,-0.2604263301436481,2712,679,0.7917277229559283,0.8075512924968522,0.09120359974233769,0.09109505732867275
prob_all_tokens.perplexity,-0.47124218793988676,2712,679,0.7917277229559283,0.8075512924968522,0.09120359974233769,0.09109505732867275
prob_tokens_only.logprob_avg,-0.6135471550415335,2712,679,0.7917277229559283,0.8075512924968522,0.09120359974233769,0.09109505732867275
prob_tokens_only.p_min,-0.9472566593160064,2712,679,0.7917277229559283,0.8075512924968522,0.09120359974233769,0.09109505732867275
prob_all_tokens.p_min,-2.0278896930398034,2712,679,0.7917277229559283,0.8075512924968522,0.09120359974233769,0.09109505732867275
