source,signal,coverage,k,accuracy,threshold
mmlu_500_confidence_probs.jsonl,c_ent,0.1,50,0.76,0.8225277565806551
mmlu_500_confidence_probs.jsonl,c_ent,0.2,100,0.78,0.8187533190698378
mmlu_500_confidence_probs.jsonl,c_ent,0.3,150,0.8133333333333334,0.6974540008331753
mmlu_500_confidence_probs.jsonl,c_ent,0.4,200,0.795,0.5869898297962691
mmlu_500_confidence_probs.jsonl,c_ent,0.5,250,0.78,0.5762076600877131
mmlu_500_confidence_probs.jsonl,c_ent,0.6,300,0.7866666666666666,0.4890359525563188
mmlu_500_confidence_probs.jsonl,c_ent,0.7,350,0.7771428571428571,0.4041199259095133
mmlu_500_confidence_probs.jsonl,c_ent,0.8,400,0.78,0.3216101752764803
mmlu_500_confidence_probs.jsonl,c_ent,0.9,450,0.7733333333333333,0.21452470277266567
mmlu_500_confidence_probs.jsonl,c_ent,1.0,500,0.754,0.0
mmlu_500_confidence_probs.jsonl,c_pmax,0.1,50,0.78,0.95
mmlu_500_confidence_probs.jsonl,c_pmax,0.2,100,0.79,0.95
mmlu_500_confidence_probs.jsonl,c_pmax,0.3,150,0.8266666666666667,0.9
mmlu_500_confidence_probs.jsonl,c_pmax,0.4,200,0.79,0.85
mmlu_500_confidence_probs.jsonl,c_pmax,0.5,250,0.776,0.85
mmlu_500_confidence_probs.jsonl,c_pmax,0.6,300,0.7866666666666666,0.8
mmlu_500_confidence_probs.jsonl,c_pmax,0.7,350,0.78,0.75
mmlu_500_confidence_probs.jsonl,c_pmax,0.8,400,0.7775,0.7
mmlu_500_confidence_probs.jsonl,c_pmax,0.9,450,0.7711111111111111,0.6
mmlu_500_confidence_probs.jsonl,c_pmax,1.0,500,0.754,0.25
mmlu_500_confidence_probs.jsonl,c_predprob,0.1,50,0.78,0.95
mmlu_500_confidence_probs.jsonl,c_predprob,0.2,100,0.79,0.95
mmlu_500_confidence_probs.jsonl,c_predprob,0.3,150,0.8266666666666667,0.9
mmlu_500_confidence_probs.jsonl,c_predprob,0.4,200,0.79,0.85
mmlu_500_confidence_probs.jsonl,c_predprob,0.5,250,0.776,0.85
mmlu_500_confidence_probs.jsonl,c_predprob,0.6,300,0.7866666666666666,0.8
mmlu_500_confidence_probs.jsonl,c_predprob,0.7,350,0.78,0.75
mmlu_500_confidence_probs.jsonl,c_predprob,0.8,400,0.7775,0.7
mmlu_500_confidence_probs.jsonl,c_predprob,0.9,450,0.7711111111111111,0.6
mmlu_500_confidence_probs.jsonl,c_predprob,1.0,500,0.754,0.25
logit_mmlu_500_temp0_0.jsonl,c_ent,0.1,50,0.98,0.999999987607179
logit_mmlu_500_temp0_0.jsonl,c_ent,0.2,100,0.99,0.9999999608471593
logit_mmlu_500_temp0_0.jsonl,c_ent,0.3,150,0.98,0.9999998921802189
logit_mmlu_500_temp0_0.jsonl,c_ent,0.4,200,0.98,0.9999996913096355
logit_mmlu_500_temp0_0.jsonl,c_ent,0.5,250,0.972,0.9999986605666248
logit_mmlu_500_temp0_0.jsonl,c_ent,0.6,300,0.9566666666666667,0.9999864722918194
logit_mmlu_500_temp0_0.jsonl,c_ent,0.7,350,0.94,0.999864544699536
logit_mmlu_500_temp0_0.jsonl,c_ent,0.8,400,0.9,0.9962744037845299
logit_mmlu_500_temp0_0.jsonl,c_ent,0.9,450,0.8711111111111111,0.8861479277842361
logit_mmlu_500_temp0_0.jsonl,c_ent,1.0,500,0.824,0.23987017763232876
logit_mmlu_500_temp0_0.jsonl,c_pmax,0.1,50,0.98,0.99999999921799
logit_mmlu_500_temp0_0.jsonl,c_pmax,0.2,100,0.99,0.9999999973857728
logit_mmlu_500_temp0_0.jsonl,c_pmax,0.3,150,0.98,0.9999999924113897
logit_mmlu_500_temp0_0.jsonl,c_pmax,0.4,200,0.98,0.9999999770744472
logit_mmlu_500_temp0_0.jsonl,c_pmax,0.5,250,0.972,0.9999998954044956
logit_mmlu_500_temp0_0.jsonl,c_pmax,0.6,300,0.9566666666666667,0.9999987723392257
logit_mmlu_500_temp0_0.jsonl,c_pmax,0.7,350,0.94,0.9999846815572885
logit_mmlu_500_temp0_0.jsonl,c_pmax,0.8,400,0.9,0.999396895150618
logit_mmlu_500_temp0_0.jsonl,c_pmax,0.9,450,0.8688888888888889,0.9641594189730963
logit_mmlu_500_temp0_0.jsonl,c_pmax,1.0,500,0.824,0.4920203618209957
logit_mmlu_500_temp0_0.jsonl,c_predprob,0.1,50,0.98,0.99999999921799
logit_mmlu_500_temp0_0.jsonl,c_predprob,0.2,100,0.99,0.9999999973857728
logit_mmlu_500_temp0_0.jsonl,c_predprob,0.3,150,0.98,0.9999999924113897
logit_mmlu_500_temp0_0.jsonl,c_predprob,0.4,200,0.98,0.9999999770744472
logit_mmlu_500_temp0_0.jsonl,c_predprob,0.5,250,0.972,0.9999998954044956
logit_mmlu_500_temp0_0.jsonl,c_predprob,0.6,300,0.9566666666666667,0.9999987723392257
logit_mmlu_500_temp0_0.jsonl,c_predprob,0.7,350,0.94,0.9999846815572885
logit_mmlu_500_temp0_0.jsonl,c_predprob,0.8,400,0.9,0.999396895150618
logit_mmlu_500_temp0_0.jsonl,c_predprob,0.9,450,0.8688888888888889,0.9641594189730963
logit_mmlu_500_temp0_0.jsonl,c_predprob,1.0,500,0.824,0.4920203618209957
