uid,true,pred_logprob,pred_decl,y_logprob,y_decl,c_ent_logprob,c_ent_decl,c_pmax_logprob,c_pmax_decl,c_decl,full_logits_abcd_logprob
test:1008,A,C,C,0,0,0.8584072833310338,0.4890359525563188,0.9628200198134231,0.8,0.8,True
test:10482,C,C,B,1,0,0.5000483863256472,0.5762076600877131,0.6031924922973068,0.85,0.85,True
test:1056,D,B,B,0,0,0.9401190812694158,0.5762076600877131,0.9840917662584603,0.85,0.85,True
test:10564,D,D,C,1,0,0.9900138005515228,0.5762076600877131,0.9981509471735135,0.85,0.85,True
test:10594,A,A,A,1,1,0.9533288140424302,0.9549937915776076,0.9887663357256183,0.99,0.99,True
test:10686,D,A,A,0,0,0.85426724279336,0.8187533190698378,0.9512388882432901,0.95,0.95,True
test:10700,C,C,C,1,1,0.9695809007334452,0.21452470277266567,0.9933336875384434,0.6,0.6,True
test:10747,B,B,B,1,1,0.8196390276178083,0.4041199259095133,0.9314720199944336,0.75,0.75,True
test:10752,D,D,C,1,0,0.9972626180826781,0.0236379021876727,0.999577803427781,0.3,0.3,True
test:1083,B,B,C,1,0,0.9496881680679196,0.15898782663827737,0.9882775781425365,0.33673469387755106,0.33673469387755106,True
test:1097,D,D,A,1,0,0.957958307898611,0.0,0.9909144941197302,0.25,0.25,True
test:10995,A,A,A,1,1,0.9998576305722804,0.6019338952263463,0.9999836806609252,0.85,0.85,True
test:11082,D,D,D,1,1,0.8075521821038949,0.03693962657865957,0.9249143890075828,0.35,0.35,True
test:11187,D,D,A,1,0,0.9721731670171835,0.8225277565806551,0.9936792463399422,0.95,0.95,True
test:1124,A,A,B,1,0,0.42139432062729676,0.21452470277266567,0.4869253826054972,0.6000000000000001,0.6000000000000001,True
test:1138,D,D,A,1,0,0.9796879347595226,0.45960343205204435,0.995948940923203,0.495,0.495,True
test:11601,B,B,C,1,0,0.9942758417472274,0.26055104850626054,0.9990384058838027,0.65,0.65,True
test:11615,C,A,C,0,1,0.9828751120800165,0.4890359525563188,0.9968553931983081,0.8,0.8,True
test:1164,A,A,A,1,1,0.9920863285741494,0.0,0.9985478369162203,0.25,0.25,True
test:11688,A,B,C,0,0,0.9751147646842616,0.4041199259095133,0.9945547092253776,0.75,0.75,True
test:11742,A,C,C,0,0,0.9103988346716736,0.340482362830567,0.9731203477872487,0.7,0.7,True
test:11843,C,C,A,1,0,0.9937624566452421,0.8225277565806551,0.9989132949013205,0.95,0.95,True
test:11858,B,B,B,1,1,0.9993322979443638,0.21452470277266567,0.9999121721268919,0.6000000000000001,0.6000000000000001,True
test:12016,A,A,D,1,0,0.4918110211025146,0.048149151971325854,0.49918755982601043,0.4,0.4,True
test:12020,A,C,A,0,1,0.8593857873702,0.07885390545879267,0.9600045226304436,0.36,0.36,True
test:12063,A,A,A,1,1,0.9973953526042818,0.8187533190698378,0.9996267999249808,0.95,0.95,True
test:12089,C,A,C,0,1,0.9985127764601962,0.07678032766449217,0.9998035864576055,0.4,0.4,True
test:12247,A,A,D,1,0,0.9697102265429072,0.15925183523566233,0.993213309512231,0.55,0.55,True
test:12664,D,B,D,0,1,0.998555318715091,0.4890359525563188,0.9998121858004911,0.8,0.8,True
test:12816,B,A,D,0,0,0.952712328378533,0.3010637935710476,0.9884009967930734,0.6785714285714286,0.6785714285714286,True
test:13059,C,D,C,0,1,0.5810675272936882,0.07678032766449228,0.7540188871269302,0.4,0.4,True
test:13120,D,D,D,1,1,0.999868006655106,0.5762076600877131,0.9999859938177539,0.85,0.85,True
test:13178,D,A,B,0,0,0.7574015434377085,0.0560889412943697,0.8949995241607308,0.3511450381679389,0.3511450381679389,True
test:13204,C,C,A,1,0,0.9971590321517383,0.8187533190698378,0.9995697805483041,0.95,0.95,True
test:13253,C,B,A,0,0,0.3965496494376646,0.0,0.4810703240413627,0.25,0.25,True
test:13299,D,D,D,1,1,0.9996859330542062,0.5762076600877131,0.9999633932737184,0.85,0.85,True
test:13715,C,D,D,0,0,0.9573038699338899,0.3404823628305669,0.9893206158342543,0.7,0.7,True
test:13721,D,C,C,0,0,0.9999829786225247,0.4041199259095133,0.9999984505535195,0.75,0.75,True
test:1380,D,B,B,0,0,0.9196502672885244,0.32161017527648017,0.9817105635315257,0.7000000000000001,0.7000000000000001,True
test:1523,A,A,A,1,1,0.9999487384024738,0.8187533190698378,0.999994826308579,0.95,0.95,True
test:1603,C,C,C,1,1,0.9999501003754098,0.4890359525563188,0.9999951720822907,0.8,0.8,True
test:1798,B,A,A,0,0,0.998800912819642,0.8225277565806551,0.9998313234414308,0.95,0.95,True
