signal,target,coverage,k,accuracy,threshold,n_total
c_ent_logprob,y_logprob,0.1,11,0.8181818181818182,0.9999642970532876,107
c_ent_logprob,y_logprob,0.2,22,0.8636363636363636,0.9997559377685763,107
c_ent_logprob,y_logprob,0.3,33,0.8181818181818182,0.999124339425195,107
c_ent_logprob,y_logprob,0.4,43,0.7441860465116279,0.9971590321517383,107
c_ent_logprob,y_logprob,0.5,54,0.7592592592592593,0.9887516826618679,107
c_ent_logprob,y_logprob,0.6,65,0.7384615384615385,0.9636450315846484,107
c_ent_logprob,y_logprob,0.7,75,0.7066666666666667,0.9401190812694158,107
c_ent_logprob,y_logprob,0.8,86,0.6627906976744186,0.8075521821038949,107
c_ent_logprob,y_logprob,0.9,97,0.6185567010309279,0.5408535112917455,107
c_ent_logprob,y_logprob,1.0,107,0.6261682242990654,0.2900827929422035,107
c_pmax_logprob,y_logprob,0.1,11,0.8181818181818182,0.9999965856304122,107
c_pmax_logprob,y_logprob,0.2,22,0.8636363636363636,0.9999724191077171,107
c_pmax_logprob,y_logprob,0.3,33,0.8181818181818182,0.9998904370287918,107
c_pmax_logprob,y_logprob,0.4,43,0.7441860465116279,0.9995697805483041,107
c_pmax_logprob,y_logprob,0.5,54,0.7592592592592593,0.9980459009140539,107
c_pmax_logprob,y_logprob,0.6,65,0.7384615384615385,0.9921610438451296,107
c_pmax_logprob,y_logprob,0.7,75,0.7066666666666667,0.9848743893465539,107
c_pmax_logprob,y_logprob,0.8,86,0.6627906976744186,0.9249143890075828,107
c_pmax_logprob,y_logprob,0.9,97,0.6288659793814433,0.7523807847677265,107
c_pmax_logprob,y_logprob,1.0,107,0.6261682242990654,0.4574594574646455,107
c_ent_decl,y_decl,0.1,11,0.7272727272727273,0.9549937915776076,107
c_ent_decl,y_decl,0.2,22,0.4090909090909091,0.8187533190698378,107
c_ent_decl,y_decl,0.3,33,0.48484848484848486,0.6019338952263463,107
c_ent_decl,y_decl,0.4,43,0.4883720930232558,0.5762076600877131,107
c_ent_decl,y_decl,0.5,54,0.48148148148148145,0.4890359525563188,107
c_ent_decl,y_decl,0.6,65,0.5076923076923077,0.4041199259095133,107
c_ent_decl,y_decl,0.7,75,0.5066666666666667,0.3404823628305669,107
c_ent_decl,y_decl,0.8,86,0.46511627906976744,0.21452470277266567,107
c_ent_decl,y_decl,0.9,97,0.4639175257731959,0.0560889412943697,107
c_ent_decl,y_decl,1.0,107,0.4485981308411215,0.0,107
c_pmax_decl,y_decl,0.1,11,0.7272727272727273,0.99,107
c_pmax_decl,y_decl,0.2,22,0.5,0.95,107
c_pmax_decl,y_decl,0.3,33,0.45454545454545453,0.85,107
c_pmax_decl,y_decl,0.4,43,0.4883720930232558,0.85,107
c_pmax_decl,y_decl,0.5,54,0.5,0.8,107
c_pmax_decl,y_decl,0.6,65,0.5076923076923077,0.75,107
c_pmax_decl,y_decl,0.7,75,0.49333333333333335,0.7,107
c_pmax_decl,y_decl,0.8,86,0.47674418604651164,0.6,107
c_pmax_decl,y_decl,0.9,97,0.4639175257731959,0.3511450381679389,107
c_pmax_decl,y_decl,1.0,107,0.4485981308411215,0.25,107
c_decl,y_decl,0.1,11,0.7272727272727273,0.98,107
c_decl,y_decl,0.2,22,0.5,0.95,107
c_decl,y_decl,0.3,33,0.45454545454545453,0.85,107
c_decl,y_decl,0.4,43,0.5116279069767442,0.85,107
c_decl,y_decl,0.5,54,0.5185185185185185,0.8,107
c_decl,y_decl,0.6,65,0.5076923076923077,0.75,107
c_decl,y_decl,0.7,75,0.5066666666666667,0.7,107
c_decl,y_decl,0.8,86,0.47674418604651164,0.6,107
c_decl,y_decl,0.9,97,0.4742268041237113,0.35,107
c_decl,y_decl,1.0,107,0.4485981308411215,0.25,107
