feature,coef
all_entropy_mean,-2.743256078388022
all_top1_mean,-1.7388453460404922
all_top1_std,1.1706800057798417
all_top1_min,0.9964450493016603
all_entropy_first_third_mean,0.825875304424096
all_top1_first_third_mean,0.7892559392580499
all_top1_last_third_mean,0.5755500055905772
all_ratio_lp_below_-3,0.4972562097451283
all_entropy_last_third_mean,0.4687110059478303
all_longest_run_lp_below_-2,0.37556541877950994
all_entropy_last_minus_first_third_mean,-0.362563563181137
all_entropy_std,-0.3185284011199581
all_top1_slope,0.26139886953779945
all_margin_mean,-0.2584881355090395
all_top1_last_minus_first_third_mean,-0.2557972152409643
all_ratio_lp_below_-2,-0.18747746149530237
all_margin_std,0.11100393897663632
all_entropy_max,-0.08382682763870533
all_margin_min,0.08380032318395852
all_candidate_count_mean,0.0
