feature,coef
all_top1_mean,-1.7326699952634887
reasoning_entropy_mean,-1.6688183901179316
final_margin_min,1.6622784793055148
reasoning_top1_mean,-1.6575332371264837
all_entropy_mean,-1.5111893533098146
all_entropy_last_third_mean,1.336864472387792
final_top1_min,-1.2542141561977647
reasoning_entropy_last_minus_first_third_mean,-1.2311001227826972
all_top1_first_third_mean,1.1113197093606573
final_margin_std,1.001154251356931
final_top1_slope,-0.9343023499296219
final_entropy_std,-0.9325577830677451
reasoning_entropy_last_third_mean,-0.8435844346882888
all_top1_last_minus_first_third_mean,-0.7107931220114926
final_margin_mean,-0.707478610243989
all_entropy_last_minus_first_third_mean,0.700040761341971
reasoning_entropy_first_third_mean,0.6423425256714637
final_entropy_max,0.6378320965365338
final_top1_last_minus_first_third_mean,-0.6094399304883794
final_top1_mean,0.5907434567935819
final_top1_last_third_mean,-0.5474683092915636
all_top1_slope,0.5310303624183044
all_entropy_std,-0.49522749227366814
reasoning_top1_last_third_mean,0.47244435124336204
all_top1_min,0.39344100808253685
reasoning_top1_min,0.39156001627047676
all_entropy_first_third_mean,0.37407977822949295
gold_answer,-0.36767605571826
all_margin_std,0.3556593146749173
final_top1_first_third_mean,0.35054163179580783
all_margin_mean,-0.34766799808261906
all_top1_last_third_mean,0.33175527752164086
reasoning_entropy_std,-0.33066412165383585
reasoning_top1_slope,0.3147966772734597
reasoning_ratio_lp_below_-3,0.264652273431072
reasoning_top1_first_third_mean,0.22222104187702985
all_ratio_lp_below_-3,0.2038119514989007
all_top1_std,0.19763007555965614
reasoning_top1_std,0.18536470347382664
final_entropy_last_minus_first_third_mean,-0.18023290650993232
reasoning_top1_last_minus_first_third_mean,0.1730082086406897
final_entropy_last_third_mean,-0.16904449156540763
all_ratio_lp_below_-2,0.16135979193476946
reasoning_longest_run_lp_below_-2,0.15681983924539178
all_longest_run_lp_below_-2,0.15438687513179164
reasoning_margin_std,0.12281258093299395
final_entropy_first_third_mean,0.10420973061802485
reasoning_ratio_lp_below_-2,-0.09849781270379004
final_entropy_mean,0.08661201756794823
reasoning_margin_mean,-0.04688430645034615
reasoning_entropy_max,0.038051948757579154
all_entropy_max,0.03666253689441016
final_longest_run_lp_below_-2,-0.030395447406562543
final_ratio_lp_below_-2,-0.030395447406562543
reasoning_margin_min,0.01795670315440761
all_margin_min,0.00818569896435462
final_top1_std,0.0038901645988953923
final_candidate_count_mean,0.0
all_candidate_count_mean,0.0
final_ratio_lp_below_-3,0.0
reasoning_candidate_count_mean,0.0
