feature,n_correct,n_wrong,mean_correct,mean_wrong,diff_wrong_minus_correct,median_correct,median_wrong,std_correct,std_wrong,welch_t_pvalue,mannwhitney_pvalue,cohens_d_correct_minus_wrong,cliffs_delta_correct_vs_wrong,univariate_auc,auc_direction,welch_t_fdr_bh,mannwhitney_fdr_bh
all_entropy_last_third_mean,1261,58,0.07668813300627852,0.15780005904830097,0.08111192604202244,0.0667464609160596,0.1119717355752953,0.05441430742838988,0.14516029961941726,8.117309632880336e-05,3.0197628274953786e-06,-1.3254809445018758,-0.36219202056386557,0.6810960102819328,lower_is_more_correct,0.0008658463608405692,0.00010402108265890506
reasoning_entropy_last_third_mean,1261,58,0.08345778137699127,0.17662265031029378,0.09316486893330252,0.0719979836274478,0.11980386310895505,0.0572416683192335,0.16428994751996154,6.521136427676802e-05,3.250658833090783e-06,-1.4202589037461335,-0.3610161612294566,0.6805080806147283,lower_is_more_correct,0.0008347054627426307,0.00010402108265890506
reasoning_entropy_max,1261,58,1.2200419136243004,1.349052719708076,0.12901080608377558,1.2362434835638227,1.374654468544252,0.21741274261953386,0.19384873882263018,6.215216724479719e-06,6.7988627121277636e-06,-0.5960415164541029,-0.3490388033580355,0.6745194016790177,lower_is_more_correct,0.00020715965822526192,0.0001152748062055108
all_entropy_max,1261,58,1.2203273689950023,1.349052719708076,0.12872535071307367,1.2362434835638227,1.374654468544252,0.21754908938595552,0.19384873882263018,6.473739319539435e-06,7.204675387844425e-06,-0.5943628781314876,-0.34808170855095844,0.6740408542754792,lower_is_more_correct,0.00020715965822526192,0.0001152748062055108
all_top1_last_third_mean,1261,58,-0.04525725073322004,-0.09850332983870923,-0.05324607910548919,-0.0375027994941013,-0.06550634781832684,0.03900963153474193,0.10481770600984577,0.00029203074754364686,1.219756336787397e-05,1.211578931081581,0.33927643632584975,0.6696382181629248,higher_is_more_correct,0.0020697723825178803,0.0001296360982864942
reasoning_entropy_std,1261,58,0.24912979659825585,0.3000509151504217,0.050921118552165856,0.2451064507868331,0.2887421004771502,0.05970557287816088,0.0857918443275369,3.556093464721224e-05,1.4489947910202786e-05,-0.8338737521591709,-0.3363504607727857,0.6681752303863928,lower_is_more_correct,0.000577445447294777,0.0001296360982864942
all_entropy_std,1261,58,0.24666928605171157,0.29798335768411055,0.05131407163239898,0.242919219985224,0.28577718835300303,0.05942043585586692,0.08655290648876478,3.609034045592356e-05,1.4513195170295135e-05,-0.8433469475866568,-0.3363231152068692,0.6681615576034348,lower_is_more_correct,0.000577445447294777,0.0001296360982864942
reasoning_top1_last_third_mean,1261,58,-0.049464888619736275,-0.11032490111854361,-0.060860012498807334,-0.040785683625617,-0.0679738746358564,0.04120761101692508,0.11762259928993722,0.00023044066105151932,1.644023701354024e-05,1.290705694002252,0.33419016106538324,0.6670950805326916,higher_is_more_correct,0.0018435252884121546,0.0001296360982864942
all_entropy_mean,1261,58,0.11357882928704065,0.1654404296727411,0.051861600385700465,0.1059103756750102,0.1431229753019639,0.05073021424696405,0.09746816422325807,0.0001649176446819336,1.8230076321538248e-05,-0.9675041454131601,-0.33241269928081163,0.6662063496404058,lower_is_more_correct,0.0015078184656633928,0.0001296360982864942
reasoning_entropy_mean,1261,58,0.11638121861085864,0.1713789232065762,0.05499770459571755,0.1092877863831826,0.14508288197322278,0.052145425751439406,0.1089890708928861,0.00032340193476841883,2.1249932169061883e-05,-0.985316767737951,-0.32976017938691243,0.6648800896934564,lower_is_more_correct,0.0020697723825178803,0.00013599956588199606
final_entropy_first_third_mean,1261,55,0.0007475344233036381,0.025085212099276027,0.024337677675972388,5.9276704444002846e-08,1.04226364461004e-06,0.011541347402800016,0.11422190887313978,0.11997768869294885,5.836945534247344e-05,-0.9445618237583174,-0.3197894888616538,0.659894744430827,lower_is_more_correct,0.19688646349612118,0.0002501162894224027
reasoning_entropy_last_minus_first_third_mean,1261,58,-0.07968593695823945,0.0028128279149887813,0.08249876487322823,-0.0757337820758977,-0.04378291014617865,0.07756146886425157,0.1669630180367333,0.00041674511157121136,3.849938323859606e-05,-0.9887416156971043,-0.31928682764089805,0.6596434138204491,lower_is_more_correct,0.0024246988309597753,0.00022399641157001346
reasoning_top1_slope,1261,58,0.0007942680180967676,2.7981056536996796e-05,-0.0007662869615597707,0.0005762743707875,0.00019221520607005,0.0012235394071657489,0.0016338763201028783,0.0008137740382908948,4.7489153413485975e-05,0.6159347970308412,0.3155131395444229,0.6577565697722114,higher_is_more_correct,0.003869196954034109,0.00024169630444020093
all_margin_mean,1261,58,11.48295812422448,10.41589418397829,-1.0670639402461894,11.484556398603717,10.33706092054788,1.7584334442751968,2.3265883919190156,0.0010384417085803732,4.909456183941581e-05,0.5972035616763152,0.3149115370942602,0.6574557685471302,higher_is_more_correct,0.004153766834321493,0.00024169630444020093
reasoning_margin_mean,1261,58,11.328287426277958,10.229643397227825,-1.0986440290501331,11.266485304780772,10.142933646156619,1.7997747191345594,2.4255077724587237,0.0011796838484023314,5.862100533337563e-05,0.599929528333332,0.31168476031611475,0.6558423801580575,higher_is_more_correct,0.004441162723397013,0.0002501162894224027
